,bio1,bio12,dors.PC1,vent.PC1,Habitat,scaled_precip,scaled_temp,taxon
Scler_guate_xxx,25,2576,-0.0997,-0.2278,Forest,1.2938,1.0294,Scler_guate_xxx
Synda_ucaya_xxx,24.9,2590,-0.0516,-0.1441,Forest,1.3109,1.0136,Synda_ucaya_xxx
Crani_hellm_xxx,17,2592,-0.0143,0.071,Intermediate,1.3133,-0.2303,Crani_hellm_xxx
Synal_fusco_xxx,16.8,2607,-0.0236,-0.0522,Intermediate,1.3317,-0.2618,Synal_fusco_xxx
Cliba_rufip_xxx,19.7,2607,-0.0382,-0.0884,Forest,1.3317,0.1948,Cliba_rufip_xxx
Nasic_longi_xxx,26.1,2609,-0.028,0.0642,Forest,1.3342,1.2026,Nasic_longi_xxx
Autom_melan_xxx,25.1,2609.5,-0.0514,0.025,Forest,1.3348,1.0451,Autom_melan_xxx
Marga_rubig_xxx,16.1,2614,-0.0416,-0.046,Forest,1.3403,-0.372,Marga_rubig_xxx
Crani_guttu_xxx,25.25,2629.5,-0.0233,0.0385,Intermediate,1.3593,1.0687,Crani_guttu_xxx
Synda_subal_xxx,18.5,2636,-0.0498,-0.1599,Forest,1.3672,0.0059,Synda_subal_xxx
Cliba_rubig_cin,21.7,2656,-0.1208,-0.2155,Forest,1.3917,0.5097,Cliba_rubig_cin
Autom_ochro_xxx,24.5,2660,-0.0632,-0.073,Forest,1.3966,0.9506,Autom_ochro_xxx
Dendx_rufig_dev,25.5,2681,0.0177,-0.0871,Forest,1.4223,1.1081,Dendx_rufig_dev
Phily_fusci_xxx,23.8,2696,-0.0288,0.0035,Forest,1.4407,0.8404,Phily_fusci_xxx
Xiphr_sussu_xxx,25.9,2708,0.0075,-0.0717,Forest,1.4554,1.1711,Xiphr_sussu_xxx
Synal_albig_xxx,24.4,2766,-0.0226,-0.0261,Nonforest,1.5264,0.9349,Synal_albig_xxx
Phily_pyrrh_xxx,25.7,2771,0.0097,-0.091,Forest,1.5325,1.1396,Phily_pyrrh_xxx
Synal_brach_xxx,21.8,2796,-0.049,-0.2388,Nonforest,1.5631,0.5255,Synal_brach_xxx
Furna_torri_xxx,26.4,2798,-0.0621,0.2264,Forest,1.5655,1.2498,Furna_torri_xxx
Certo_stict_xxx,26.3,2808,-0.0301,-0.2074,Forest,1.5778,1.234,Certo_stict_xxx
Glyph_spiru_xxx,25.1,2808,-0.0179,-0.1588,Forest,1.5778,1.0451,Glyph_spiru_xxx
Synal_propi_xxx,26.3,2812,0.0243,-0.003,Nonforest,1.5827,1.234,Synal_propi_xxx
Furna_minor_xxx,26.4,2843,0.1283,0.3773,Nonforest,1.6206,1.2498,Furna_minor_xxx
Thrie_ignob_xxx,19.2,2845,-0.1953,-0.2535,Forest,1.6231,0.1161,Thrie_ignob_xxx
Xiphr_eryth_xxx,21.3,2893.5,-0.0034,-0.0542,Forest,1.6824,0.4468,Xiphr_eryth_xxx
Anabz_dorsa_xxx,24.3,2909,-0.0586,0.2659,Forest,1.7014,0.9191,Anabz_dorsa_xxx
Metop_auran_xxx,25.35,2914.5,0.0874,0.0986,Intermediate,1.7082,1.0845,Metop_auran_xxx
Thrie_rufob_xxx,17.9,2950.5,-0.0811,-0.152,Forest,1.7522,-0.0886,Thrie_rufob_xxx
Campy_pusil_xxx,19.9,2973.5,-0.0522,-0.2319,Forest,1.7804,0.2263,Campy_pusil_xxx
Autom_subul_sub,24.1,2989,-0.0681,-0.1246,Forest,1.7994,0.8876,Autom_subul_sub
Xener_minlo_xxx,23.7,3148,0.0875,0.1682,Intermediate,1.994,0.8247,Xener_minlo_xxx
Xiphr_lachr_xxx,25.9,3542,0.0207,0.0323,Forest,2.4764,1.1711,Xiphr_lachr_xxx
