,taxon,back_red,bell_red,brea_red,crow_red,rump_red,tail_red,thro_red,back_bright,bell_bright,brea_bright,crow_bright,rump_bright,tail_bright,thro_bright,bio1,bio12,scaled_temp,scaled_precip,Habitat
Crani_albia_xxx,Crani_albia_xxx,0.021776627,0.064631991,0.075205853,0.087746272,0.029345172,0.038923792,0.078748354,0.269521583,0.461187826,0.507963655,0.511028375,0.280573374,0.319426349,0.627019429,10.7,776,-1.220595231,-0.914492148,Nonforest
Crani_albic_alb,Crani_albic_alb,0.038171164,0.041957256,0.036171701,0.081462273,0.023717402,0.039705815,0.034078954,0.259382113,0.337418172,0.333565271,0.527525379,0.234164503,0.302164095,0.362349504,14.3,995.5,-0.65204324,-0.64472821,Intermediate
Crani_antis_xxx,Crani_antis_xxx,0.020143205,0.044170721,0.066496191,0.054408847,0.025922316,0.042637001,0.067328682,0.266449338,0.411420295,0.522295393,0.305747629,0.290145625,0.30577108,0.645378146,16.3,803,-0.336181022,-0.88130934,Intermediate
Crani_curta_cis,Crani_curta_cis,0.02311142,0.043035563,0.042572549,0.035174867,0.031381649,0.039774502,0.040065666,0.2640062,0.363045903,0.368773693,0.246895419,0.295397825,0.313885864,0.369424821,20.15,1739,0.271853746,0.269028,Intermediate
Crani_eryth_xxx,Crani_eryth_xxx,0.020538765,0.043501694,0.040105323,0.048207042,0.023426855,0.036702117,0.034760097,0.231042828,0.359995195,0.357506794,0.268481157,0.237613022,0.287794987,0.395241135,18.6,2526,0.027060528,1.236245399,Intermediate
Crani_guttu_xxx,Crani_guttu_xxx,0.018980255,0.058819138,0.059564384,0.029544817,0.02917918,0.044134604,0.052811603,0.256747285,0.461240072,0.454468286,0.231788548,0.274462953,0.314711502,0.465671024,25.25,2629.5,1.077302401,1.363446163,Intermediate
Crani_hellm_xxx,Crani_hellm_xxx,0.025256882,0.059581029,0.066911388,0.021895243,0.028408617,0.05389209,0.057149582,0.252193019,0.461417093,0.470676285,0.238524601,0.287482314,0.314507654,0.503139559,17,2592,-0.225629246,1.31735893,Intermediate
Crani_marca_mar,Crani_marca_mar,0.041176687,0.040216288,0.054563225,0.041406356,0.031092963,0.040341535,0.073412241,0.271386326,0.366433727,0.468965923,0.255530895,0.273813657,0.302936578,0.558790475,11.25,756,-1.133733121,-0.939072005,Forest
Crani_muell_xxx,Crani_muell_xxx,0.02356225,0.036634553,0.044413193,0.030684455,0.025737181,0.033684301,0.045026812,0.23212548,0.330961295,0.359209167,0.232467457,0.248431579,0.285400588,0.39597115,27.5,2148,1.432647396,0.771686089,Intermediate
Crani_obsol_xxx,Crani_obsol_xxx,0.026829848,0.060544585,0.065674191,0.02940811,0.033826138,0.04533317,0.043741387,0.301107449,0.436280726,0.490980529,0.276161281,0.301199037,0.337107804,0.374849803,18.9,1656,0.074439861,0.16702159,Intermediate
Crani_palli_xxx,Crani_palli_xxx,0.030625872,0.054039732,0.060204131,0.040114672,0.038575137,0.051634531,0.066559126,0.267115484,0.375869522,0.43453806,0.261971645,0.291926966,0.344066084,0.447696467,17.6,1637,-0.130870581,0.143670725,Intermediate
Crani_pyrrh_str,Crani_pyrrh_str,0.02497417,0.064485468,0.072278071,0.024046344,0.038449328,0.041964567,0.058238536,0.325769237,0.574907102,0.65797401,0.283907012,0.321066956,0.317478098,0.680856574,18.45,770.5,0.003370862,-0.921251609,Forest
Crani_semic_xxx,Crani_semic_xxx,0.037187981,0.069374016,0.059160062,0.048599815,0.05861632,0.060655465,0.07771115,0.292246795,0.456827229,0.46433508,0.369705422,0.316277633,0.332766505,0.535281712,21.55,975.5,0.492957299,-0.669308067,Intermediate
Crani_subcr_xxx,Crani_subcr_xxx,0.025162301,0.065135676,0.060964153,0.025057242,0.032891517,0.054061462,0.05545791,0.312276862,0.451090893,0.436125509,0.284118822,0.28061346,0.34147339,0.356949462,19.9,1061,0.232370969,-0.564229176,Intermediate
Decon_longi_xxx,Decon_longi_xxx,0.025507159,0.046433018,0.03565906,0.018356854,0.026769397,0.033011679,0.052465319,0.271852354,0.361252732,0.319113803,0.246448212,0.294431755,0.322392776,0.376749454,25.7,2423,1.1483714,1.109659132,Forest
Denda_anaba_xxx,Denda_anaba_xxx,0.024356502,0.058206695,0.041714999,0.023852154,0.032174661,0.033629796,0.052848316,0.282405052,0.368143717,0.335829146,0.256001432,0.289166287,0.306774771,0.397109406,25.2,2347,1.069405846,1.016255673,Forest
Denda_fulig_ful,Denda_fulig_ful,0.026297369,0.050256081,0.043057749,0.02317168,0.032706279,0.033787217,0.044231712,0.279978159,0.367944002,0.336347856,0.259043919,0.296139254,0.321818162,0.388965033,25.05,2416.5,1.045716179,1.101670678,Forest
Denda_homoc_xxx,Denda_homoc_xxx,0.028218583,0.05328763,0.037674933,0.034884639,0.043026321,0.031073404,0.060484451,0.275218149,0.330063426,0.293078929,0.276479337,0.292125297,0.294212586,0.339971888,25,2151.5,1.037819624,0.775987564,Forest
Denda_merul_xxx,Denda_merul_xxx,0.02282021,0.035614681,0.02812007,0.018724711,0.027919186,0.028859835,0.050215947,0.245845638,0.281150674,0.264587223,0.217002947,0.246395132,0.287169985,0.415354064,25.6,2298,1.132578289,0.956035022,Forest
Dendo_certh_xxx,Dendo_certh_xxx,0.029928547,0.061941069,0.043577946,0.021373507,0.043737411,0.020684479,0.041128607,0.283978858,0.381454695,0.325346182,0.262902058,0.296976237,0.26073836,0.356810203,25.7,2324,1.1483714,0.987988837,Forest
Dendo_hoffm_xxx,Dendo_hoffm_xxx,0.021161243,0.053905136,0.031347659,0.01858577,0.039434547,0.01845324,0.035825073,0.267168815,0.34842472,0.299346671,0.244064818,0.292754711,0.255787948,0.355931563,27,2139.5,1.353681841,0.76123965,Forest
Dendo_picum_xxx,Dendo_picum_xxx,0.028172183,0.053405273,0.043877772,0.022355098,0.036881949,0.027523446,0.055256752,0.269411828,0.353329147,0.328938308,0.257669841,0.265597224,0.286206181,0.421507689,23.25,1921.5,0.761440184,0.493319201,Forest
Dendo_platy_xxx,Dendo_platy_xxx,0.025334613,0.045277494,0.042513578,0.014541035,0.02972504,0.020921302,0.063599718,0.260934524,0.340397079,0.324162535,0.229714851,0.258524614,0.266284465,0.476020521,18.9,1606.5,0.074439861,0.106186442,Forest
Dendo_sanct_xxx,Dendo_sanct_xxx,0.024380047,0.047571971,0.034937913,0.022716646,0.042560209,0.027809016,0.03317258,0.27585827,0.348347484,0.303701589,0.260853598,0.289081164,0.278223022,0.323368536,25.3,2535.5,1.085198957,1.247920832,Forest
Dendp_kiene_xxx,Dendp_kiene_xxx,0.023066634,0.050074814,0.037769766,0.015016377,0.031198392,0.021785393,0.060804117,0.26666368,0.326015076,0.321915945,0.234386901,0.252594765,0.272764733,0.471949399,27.1,2308,1.369474952,0.968324951,Intermediate
Dendp_picus_xxx,Dendp_picus_xxx,0.034156233,0.045612883,0.040670104,0.019662751,0.042478067,0.029158906,0.088814833,0.269227005,0.320177513,0.331122392,0.242078217,0.282123347,0.268326115,0.529516384,26.4,1826.5,1.258923176,0.376564877,Intermediate
Dendx_rufig_dev,Dendx_rufig_dev,0.034539075,0.075286189,0.054988048,0.039414102,0.042278299,0.028511058,0.104967161,0.292789238,0.364790083,0.339784115,0.296199429,0.278369372,0.267185713,0.446992219,25.5,2681,1.116785178,1.426739296,Forest
Drymo_bridg_xxx,Drymo_bridg_xxx,0.05044027,0.068066824,0.067627914,0.026439117,0.06860816,0.042096264,0.08277889,0.328047575,0.440448087,0.478622842,0.262973305,0.356805493,0.273897049,0.599135349,18.85,941.5,0.066543305,-0.711093825,Intermediate
Drymt_puche_xxx,Drymt_puche_xxx,0.029586735,0.043502694,0.03716766,0.022159009,0.040296325,0.02973407,0.030973536,0.281433762,0.326392108,0.302323883,0.254806878,0.290378792,0.292305985,0.278433217,15.55,1198.5,-0.454629354,-0.395242654,Forest
Furna_crist_xxx,Furna_crist_xxx,0.044646818,0.123434616,0.11036745,0.046718222,0.057060572,0.058428149,0.082696411,0.313454696,0.725992722,0.517464216,0.364727574,0.349611,0.367816765,0.700483114,22.8,738.5,0.690371185,-0.960579381,Nonforest
Furna_minor_xxx,Furna_minor_xxx,0.067651507,0.152894553,0.121865921,0.029031732,0.074199545,0.056069093,0.107865134,0.348672832,0.748264397,0.542400801,0.308263637,0.370452887,0.335147472,0.668843355,26.4,2843,1.258923176,1.625836143,Nonforest
Furna_torri_xxx,Furna_torri_xxx,0.0353363,0.1445824,0.09841662,0.016906095,0.028583217,0.027376643,0.085384204,0.243313466,0.659605784,0.451564984,0.24009065,0.239581063,0.263507206,0.584936563,26.4,2798,1.258923176,1.570531464,Forest
Geoce_serra_xxx,Geoce_serra_xxx,0.023078965,0.059418018,0.062895225,0.017477069,0.02841804,0.032248828,0.047636891,0.286179417,0.425382072,0.457399876,0.246709325,0.273814312,0.28746259,0.457586379,6.8,746,-1.836526555,-0.951361934,Nonforest
Geosi_antar_xxx,Geosi_antar_xxx,0.026495792,0.086442589,0.071519954,0.036052275,0.034777907,0.025219048,0.063225328,0.358554883,0.560581578,0.505939135,0.328892068,0.380829468,0.355077839,0.584621061,6.45,322.5,-1.891802443,-1.471840421,Nonforest
Geosi_crass_xxx,Geosi_crass_xxx,0.036122437,0.12461814,0.075138053,0.03303842,0.043525915,0.04574444,0.07695268,0.370541702,0.656057614,0.513641181,0.321332059,0.38842458,0.388475843,0.696465754,18.65,46.5,0.034957083,-1.811042456,Nonforest
Geosi_cunic_cun,Geosi_cunic_cun,0.038543153,0.1057083,0.074015104,0.034055013,0.035979116,0.022521615,0.077879007,0.362428703,0.608220456,0.504072673,0.323669628,0.380184552,0.304416747,0.658783044,8.9,504,-1.504871227,-1.248778212,Nonforest
Geosi_isabe_xxx,Geosi_isabe_xxx,0.058559832,0.11271706,0.073699021,0.04434796,0.044740009,0.01486008,0.043159815,0.409306159,0.598467906,0.462493646,0.382185391,0.423194551,0.31162702,0.486490497,4.4,483,-2.215561216,-1.274587063,Nonforest
Geosi_marit_xxx,Geosi_marit_xxx,0.032769783,0.094384121,0.077603218,0.027167315,0.021290811,0.023218806,0.074192103,0.377488375,0.624200468,0.569192935,0.31949315,0.400358898,0.334123712,0.640386375,16.6,30,-0.28880169,-1.831320839,Nonforest
Geosi_peruv_xxx,Geosi_peruv_xxx,0.054046416,0.122042878,0.077955529,0.050472319,0.057791345,0.040088389,0.082158553,0.42232272,0.793912097,0.607844403,0.388263097,0.465442817,0.373876068,0.73693326,19.4,17,0.153405415,-1.847297747,Nonforest
Geosi_poeci_xxx,Geosi_poeci_xxx,0.029089981,0.083343613,0.062652291,0.024266006,0.037536192,0.057126065,0.064000823,0.280656211,0.505472466,0.389039316,0.26174099,0.297238952,0.348961099,0.535332331,20.6,1520,0.342922745,-0.000121442,Nonforest
Geosi_rufip_xxx,Geosi_rufip_xxx,0.038665728,0.11130653,0.072802719,0.033731659,0.04516256,0.026896589,0.051485416,0.389322351,0.646621805,0.522170868,0.320909868,0.403875134,0.33581167,0.629598487,7.7,479,-1.694388557,-1.279503034,Nonforest
Geosi_tenui_xxx,Geosi_tenui_xxx,0.031506472,0.108709005,0.076888514,0.029850981,0.033787875,0.028647551,0.073962183,0.327495719,0.582871632,0.475320346,0.309564498,0.341876174,0.34208972,0.620326988,6.2,769.5,-1.931285221,-0.922480601,Nonforest
Glyph_spiru_xxx,Glyph_spiru_xxx,0.026107281,0.035982762,0.029687074,0.015608052,0.033624528,0.030043829,0.051061475,0.264321278,0.352335308,0.31469115,0.234936206,0.286329957,0.291152867,0.366610811,25.1,2808,1.053612735,1.582821393,Forest
Helio_conta_xxx,Helio_conta_xxx,0.024693295,0.039354269,0.046311774,0.017243131,0.021758749,0.047457368,0.079407712,0.273947764,0.346586273,0.397950877,0.233781901,0.267308946,0.321578435,0.541312146,16.35,1685,-0.328284467,0.202662384,Intermediate
Hellm_gular_xxx,Hellm_gular_xxx,0.027443664,0.052658762,0.054610234,0.027476057,0.02528073,0.028889763,0.061250525,0.254122524,0.318974532,0.322343636,0.251898123,0.242084304,0.291428259,0.355532374,12.3,1289,-0.967905457,-0.284018798,Forest
